season,week,pass_rate,epa_mean
2024,10,0.44231570179092045,-0.019543257915726774
2024,11,0.4682343234323432,0.047736054437447634
2024,12,0.4701003928415539,0.019071470495112798
2024,13,0.46383426966292135,0.00781483661469149
2024,14,0.45442536327608984,0.04812138363329137
2024,15,0.46007194244604316,-0.011725841061468564
2024,16,0.45839363241678727,0.03779038894651222
2024,17,0.4616775126536515,0.025619266255387897
2024,18,0.44935344827586204,0.033009868707121054
2024,19,0.43558282208588955,-0.016035656065923946
2024,20,0.4331395348837209,0.08015593123721995
2024,21,0.449468085106383,0.1274294756270095
2024,22,0.4659090909090909,-0.06358491185030515
